,Business Name,Address,City,State,Membership/Store Number,Tire Brands Carried,Sales Group,Cooper Region,Date Registered,User Status,Points Earned,Courses Complete,Generated Key,Edit Distance,IsMatch,Activity Score,Heirarchy
3122,Big Red Tire Pros,4900 Old Cheney,Lincoln,Nebraska,77155195182,Cooper,Mid West Territory 08,Midwest,12/21/2015,Enabled,75.0,6,bigredti4900oldclincoln,16,NotDupe,Medium,G
762,Big Sky Tire-Rama,4501 10th Ave S,Great Falls,Montana,,Cooper,Western Territory 06,Western,02/04/2015,Enabled,259.0,24,bigskyti450110thgreatfal,19,NotDupe,High,Unique
1173,Bill's Tire Outlet,3200 6th St.,Columbus,Nebraska,762696,Cooper,Mid West Territory 08,Midwest,03/03/2015,Enabled,120.0,9,billstir32006thscolumbus,0,Dupe,Medium,G
2275,Bill's Tire Outlet,3200 6th St.,Columbus,Nebraska,762696,Cooper,Mid West Territory 08,Midwest,08/13/2015,Enabled,425.0,21,billstir32006thscolumbus,15,NotDupe,High,G
4027,Bill Williams Tire Center,120 SE Loop 289,Lubbock,Texas,4,Cooper,South Central Territory 06,South Central,06/06/2016,Enabled,25.0,6,billwill120seloolubbock,12,NotDupe,Medium,Unique
4920,BILL WILLIAMS TIRE CENTER,1500,MIDLAND,Texas,229410,Cooper,South Central Territory 04,South Central,02/15/2017,Enabled,1034.0,74,billwill1500midland,15,NotDupe,High,Unique
3354,Bird's Millington transmission,7656 Us hwy 51 N,Millington,Tennessee,415742,Mastercraft,South Central Territory 05,South Central,01/27/2016,Enabled,45.0,5,birdsmil7656ushwmillingt,19,NotDupe,Low,Unique
2762,Bismarck Tire,503 N 4th St.,Bismarck,North Dakota,307654,Cooper,Mid West Territory 08,Midwest,10/26/2015,Enabled,155.0,10,bismarck503n4thsbismarck,19,NotDupe,Medium,Unique
1750,Black's Tire Services,1400 E. Geer St,Durham,North Carolina,32012,Both,South Atlantic Territory 02,South Atlantic,04/28/2015,Enabled,45.0,6,blacksti1400egeedurham,0,Dupe,Medium,G
1619,Black's Tire Services,1400 E. Geer St,Durham,North Carolina,,Cooper,South Atlantic Territory 02,South Atlantic,04/17/2015,Enabled,1387.0,75,blacksti1400egeedurham,0,Dupe,High,G
1664,Black's Tire Services,1400 E. Geer St,Durham,North Carolina,32012,Both,South Atlantic Territory 02,South Atlantic,04/23/2015,Enabled,168.0,29,blacksti1400egeedurham,0,Dupe,High,G
1539,Black's Tire Services,1400 E. Geer St,Durham,North Carolina,51,Both,South Atlantic Territory 02,South Atlantic,04/09/2015,Enabled,105.0,12,blacksti1400egeedurham,14,NotDupe,High,G
4187,Black's Tire Service,147 Hatfield Rd,Statesville,North Carolina,61,Cooper,South Atlantic Territory 03,South Atlantic,07/27/2016,Enabled,2.0,1,blacksti147hatfistatesvi,13,NotDupe,Low,Unique
1760,Black's Tire & Auto Services,1714 University Commercial Place,Charlotte,North Carolina,41,Both,South Atlantic Territory 03,South Atlantic,04/29/2015,Enabled,29.0,6,blacksti1714univcharlott,0,Dupe,Medium,G
1779,Black's Tire & Auto Services,1714 University Commercial Place,Charlotte,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,04/29/2015,Enabled,25.0,5,blacksti1714univcharlott,0,Dupe,Low,G
1500,Black's Tire & Auto Services,1714 University Commercial Place,Charlotte,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,04/06/2015,Enabled,175.0,13,blacksti1714univcharlott,0,Dupe,High,G
1777,Black's Tire & Auto Services,1714 University Commercial Place,charlotte,North Carolina,41,Both,South Atlantic Territory 03,South Atlantic,04/29/2015,Enabled,27.0,5,blacksti1714univcharlott,1,Dupe,Low,G
4728,Blacks Tire,1717 University Commercial Park,Charlotte,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,01/06/2017,Enabled,2.0,2,blacksti1717univcharlott,15,NotDupe,Low,G
1663,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,70462,Both,South Atlantic Territory 03,South Atlantic,04/23/2015,Enabled,25.0,4,blacksti30bitmorwhitevil,0,Dupe,Low,G
872,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Cooper,South Atlantic Territory 03,South Atlantic,02/09/2015,Enabled,1010.0,57,blacksti30bitmorwhitevil,0,Dupe,High,G
3258,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Cooper,South Atlantic Territory 03,South Atlantic,01/19/2016,Enabled,371.0,26,blacksti30bitmorwhitevil,0,Dupe,High,G
1006,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,02/17/2015,Enabled,205.0,12,blacksti30bitmorwhitevil,0,Dupe,High,G
1651,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,04/22/2015,Enabled,1022.0,76,blacksti30bitmorwhitevil,0,Dupe,High,G
1473,Black's Tire Services,30 Bitmore Rd,whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,04/02/2015,Enabled,1221.0,73,blacksti30bitmorwhitevil,0,Dupe,High,G
2167,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,07/25/2015,Enabled,25.0,3,blacksti30bitmorwhitevil,0,Dupe,Low,G
3865,Black's Tire,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,05/02/2016,Enabled,55.0,3,blacksti30bitmorwhitevil,0,Dupe,Low,G
1418,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Cooper,South Atlantic Territory 03,South Atlantic,03/31/2015,Enabled,1575.0,78,blacksti30bitmorwhitevil,0,Dupe,High,G
1407,Black's Tire Services,30 Bitmore Rd,whiteville,North Carolina,store #2,Both,South Atlantic Territory 03,South Atlantic,03/31/2015,Enabled,4.0,1,blacksti30bitmorwhitevil,0,Dupe,Low,G
3156,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,12/30/2015,Enabled,35.0,6,blacksti30bitmorwhitevil,0,Dupe,Medium,G
1485,Black's Tire Services,30 Bitmore Rd,Whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,04/03/2015,Enabled,25.0,5,blacksti30bitmorwhitevil,0,Dupe,Low,G
949,Black's Tire Services,30 Bitmore Rd,whiteville,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,02/12/2015,Enabled,1672.0,89,blacksti30bitmorwhitevil,0,Dupe,High,G
2604,Black's Tire Services,30 Bitmore Rd,whiteville,North Carolina,,Cooper,South Atlantic Territory 03,South Atlantic,10/07/2015,Enabled,1029.0,74,blacksti30bitmorwhitevil,0,Dupe,High,G
5609,Black's Tire,30 Bitmore Rd,Whiteville,North Carolina,229289,Cooper,South Atlantic Territory 03,South Atlantic,08/17/2017,Enabled,1004.0,74,blacksti30bitmorwhitevil,14,NotDupe,High,G
1414,Black's Tire Services,506 Cedar Grove Church Road,Cerro Gordo,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,03/31/2015,Enabled,1378.0,80,blacksti506cedarcerrogor,19,NotDupe,High,Unique
2875,blackwell tire & storage,314 north 4th,blackwell,Oklahoma,,Both,South Central Territory 02,South Central,11/17/2015,Enabled,45.0,5,blackwel314northblackwel,18,NotDupe,Low,Unique
5217,Blain's Farm & Fleet,3507 E Racine St,Janesville,Wisconsin,,Cooper,Mid West Territory 05,Midwest,05/10/2017,Enabled,0.0,0,blainsfa3507eracjanesvil,2,Dupe,No Activity,G
614,Blain Supply,3507 E Racine St,Janesville,Wisconsin,,Both,Mid West Territory 05,Midwest,01/26/2015,Enabled,1461.0,83,blainsup3507eracjanesvil,0,Dupe,High,G
1860,Blain Supply,3507 E Racine St,Janesville,Wisconsin,,Both,Mid West Territory 05,Midwest,05/11/2015,Enabled,675.0,32,blainsup3507eracjanesvil,17,NotDupe,High,G
2833,Blaskin and Lane,3,,,,,,,,,,0,blaskina3nan,17,NotDupe,No Activity,Unique
3095,Blonda's Automotive,1100 W Fullerton ave,Addison,Illinois,740042,Cooper,Mid West Territory 05,Midwest,12/16/2015,Enabled,5.0,4,blondasa1100wfuladdison,17,NotDupe,Low,Unique
3161,Blow Out Tire Co.,,,,,,,,,,,0,blowouttnannan,18,NotDupe,No Activity,Unique
3997,Bluebonnet Motors / Gear Stop,189 IH 35 S,New Braunfels,Texas,752158,Mastercraft,South Central Territory 04,South Central,05/26/2016,Enabled,73.0,7,bluebonn189ih35snewbraun,17,NotDupe,Medium,Unique
128,Blue Seal Petroleum,1715 South Whitehead Dr.,DeWitt,Arkansas,40031231272042,Cooper,South Central Territory 02,South Central,07/10/2014,Enabled,5.0,4,blueseal1715soutdewitt,19,NotDupe,Low,Unique
1207,BMS Tire & Auto Service,204 W RT 130 N,Burlington,New Jersey,346131,Cooper,Eastern Territory 07,Eastern,03/06/2015,Enabled,145.0,11,bmstirea204wrt13burlingt,16,NotDupe,High,Unique
5590,B&M tire and automotive llc,413 east main st,warsaw,Missouri,1904416,Mastercraft,Mid West Territory 07,Midwest,08/14/2017,Enabled,5.0,3,bmtirean413eastmwarsaw,16,NotDupe,Low,Unique
3888,BNC,315 EAST TODD RD.,SANTA ROSA,California,71804,Cooper,Western Territory 07,Western,05/04/2016,Enabled,4.0,1,bnc315easttsantaros,9,NotDupe,Low,Unique
4375,BNC AUTO CARE,315 E TODD RD,SANTA ROSA,California,71804,Cooper,Western Territory 07,Western,09/23/2016,Enabled,2.0,1,bncautoc315etoddsantaros,21,NotDupe,Low,Unique
5078,Bobby & Steve's Auto World,8100 Flying Cloud Drive,Eden Prairie,Minnesota,1812331,Cooper,Mid West Territory 05,Midwest,03/28/2017,Enabled,5.0,3,bobbyste8100flyiedenprai,17,NotDupe,Low,Unique
2751,Bob's Muffler Shop,,,,,,,,,,,0,bobsmuffnannan,18,NotDupe,No Activity,Unique
4127,BOB'S TIRE & AUTO REPAIR,1836 CORUNNA AVE,OWOSSO,Michigan,21072,Cooper,Mid West Territory 03,Midwest,07/15/2016,Enabled,4.0,2,bobstire1836coruowosso,14,NotDupe,Low,Unique
3191,Bob's Tire Store,528 w Fifth St.,Clare,Michigan,Margini,Cooper,Mid West Territory 03,Midwest,01/06/2016,Enabled,2.0,0,bobstire528wfiftclare,14,NotDupe,No Activity,Unique
503,Bob's Tire Center,614 Walnut St.,Red Bluff,California,569608,Both,Western Territory 07,Western,12/19/2014,Enabled,812.0,66,bobstire614walnuredbluff,17,NotDupe,High,Unique
966,Bob Sumerel Tire & Service,1050 Green Blvd,Aurora,Indiana,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,448.0,32,bobsumer1050greeaurora,12,NotDupe,High,Unique
4798,Bob Sumerel Tire Compnay,1257 Cox Ave,Erlanger,Kentucky,229552,Cooper,Mid West Territory 06,Midwest,01/20/2017,Enabled,5.0,2,bobsumer1257coxaerlanger,0,Dupe,Low,G
4799,Bob Sumerel Tire Company,1257 Cox Ave,Erlanger,Kentucky,229552,Cooper,Mid West Territory 06,Midwest,01/20/2017,Enabled,1004.0,74,bobsumer1257coxaerlanger,0,Dupe,High,G
5476,Bob Sumerel Tire Co.,1257 Cox Ave.,Erlanger,Kentucky,1897577,Cooper,Mid West Territory 06,Midwest,07/12/2017,Enabled,1004.0,74,bobsumer1257coxaerlanger,13,NotDupe,High,G
4086,Bob Sumerel Tire And Service,15 W. Central Parkway,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,07/01/2016,Enabled,1050.0,73,bobsumer15wcentrcincinna,0,Dupe,High,G
3937,Bob Sumerel Tire and Service Co LLC,15 W. Central Parkway,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,05/17/2016,Enabled,801.0,60,bobsumer15wcentrcincinna,0,Dupe,High,G
955,Bob Sumerel Tire & Service,15 W Central Pkwy,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,1046.0,74,bobsumer15wcentrcincinna,0,Dupe,High,G
4490,Bob Sumerel Tire & Service,15 W Central Parkway,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,11/02/2016,Enabled,1091.0,74,bobsumer15wcentrcincinna,1,Dupe,High,G
902,Bob Sumerel Tire & Service,15 W Central Pkwy,Cincinnnati,Ohio,,Cooper,Mid West Territory 06,Midwest,02/10/2015,Enabled,495.0,58,bobsumer15wcentrcincinnn,13,NotDupe,High,G
974,Bob Sumerel Tire & Service,3439 Pendleton Circle,Franklin,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,145.0,10,bobsumer3439pendfranklin,13,NotDupe,Medium,Unique
1635,Bob Sumerel Tire & Service,3872 Paxton Rd,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,04/20/2015,Enabled,355.0,17,bobsumer3872paxtcincinna,7,NotDupe,High,Unique
970,Bob Sumerel Tire & Service,3998 Red Bank Rd,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,279.0,26,bobsumer3998redbcincinna,15,NotDupe,High,Unique
5011,Bob Sumerel Tire,431 East Main Street,Orwell,Ohio,234,Cooper,Eastern Territory 06,Eastern,03/13/2017,Enabled,0.0,0,bobsumer431eastmorwell,0,Dupe,No Activity,G
4796,Bob Sumerel Tire Co,431 East Main St,Orwell,Ohio,,Cooper,Eastern Territory 06,Eastern,01/20/2017,Enabled,5.0,2,bobsumer431eastmorwell,4,NotDupe,Low,G
4800,Bob sumerel tire co,431 e main st,Orwell,Ohio,234,Cooper,Eastern Territory 06,Eastern,01/21/2017,Enabled,720.0,32,bobsumer431emainorwell,0,Dupe,High,G
3204,Bob Sumerel Tire & Service,431 E. Main St,Orwell,Ohio,229552,Cooper,Eastern Territory 06,Eastern,01/08/2016,Enabled,75.0,6,bobsumer431emainorwell,0,Dupe,Medium,G
4122,Bob Sumerel Tire Company,431 E Main St,Orwell,Ohio,,Cooper,Eastern Territory 06,Eastern,07/14/2016,Enabled,842.0,48,bobsumer431emainorwell,0,Dupe,High,G
4117,Bob Sumerel Tire Company,431 E Main St,Orwell,Ohio,,Cooper,Eastern Territory 06,Eastern,07/13/2016,Enabled,105.0,7,bobsumer431emainorwell,0,Dupe,Medium,G
1476,Bob Sumerel Tire & Service,431 E. Main St,Orwell,Ohio,,Both,Eastern Territory 06,Eastern,04/02/2015,Enabled,4.0,1,bobsumer431emainorwell,5,NotDupe,Low,G
4978,Bob Sumerel Tire,437 east main street,orwell,Ohio,234,Cooper,Eastern Territory 06,Eastern,03/06/2017,Enabled,984.0,74,bobsumer437eastmorwell,13,NotDupe,High,Unique
4797,bob sumerel tire,480 cleveland road,ravenna,Ohio,,Both,Eastern Territory 06,Eastern,01/20/2017,Enabled,45.0,5,bobsumer480cleveravenna,0,Dupe,Low,G
4524,bob sumerel tire,480 cleveland rd,ravenna,Ohio,,Both,Eastern Territory 06,Eastern,11/15/2016,Enabled,540.0,19,bobsumer480cleveravenna,0,Dupe,High,G
4949,bob sumerel tire company,480 cleveland rd.,ravenna,Ohio,,Both,Eastern Territory 06,Eastern,02/24/2017,Enabled,5.0,2,bobsumer480cleveravenna,15,NotDupe,Low,G
1065,Bob Sumerel Tire & Service,519 Madison Ave,Wooster,Ohio,229552,Cooper,Mid West Territory 04,Midwest,02/20/2015,Enabled,5.0,3,bobsumer519madiswooster,0,Dupe,Low,G
1987,Bob Sumerel Tire & Service,519 Madison Ave,Wooster,Ohio,,Cooper,Mid West Territory 04,Midwest,06/08/2015,Enabled,5.0,3,bobsumer519madiswooster,13,NotDupe,Low,G
969,Bob Sumerel Tire & Service,5274 Dixie Hwy,Fairfield,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,289.0,24,bobsumer5274dixifairfiel,15,NotDupe,High,Unique
973,Bob Sumerel Tire & Service,605 Anderson Ferry Rd,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,1131.0,75,bobsumer605andercincinna,13,NotDupe,High,Unique
957,Bob Sumerel Tire & Service,6269 Rivers Bend Drive,Maineville,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,779.0,46,bobsumer6269rivemainevil,15,NotDupe,High,Unique
1642,Bob Sumerel Tire & Service,7005 Alexandria Pike,Alexandria,Kentucky,,Cooper,Mid West Territory 06,Midwest,04/21/2015,Enabled,4.0,1,bobsumer7005alexalexandr,14,NotDupe,Low,Unique
3974,Bob Sumerel Tire & Service,7889 Tylersville Road,West Chester,Ohio,,Cooper,Mid West Territory 06,Midwest,05/21/2016,Enabled,2.0,1,bobsumer7889tylewestches,12,NotDupe,Low,Unique
4902,Bob Sumerel Tire,8692 Lake Road,Seville,Ohio,232,Cooper,Eastern Territory 06,Eastern,02/10/2017,Enabled,45.0,5,bobsumer8692lakeseville,0,Dupe,Low,G
4795,Bob Sumerel Tire,8692 Lake Road,Seville,Ohio,232,Cooper,Eastern Territory 06,Eastern,01/20/2017,Enabled,0.0,0,bobsumer8692lakeseville,14,NotDupe,No Activity,G
967,Bob Sumerel Tire & Service,9167 Union Cemetery Rd,Cincinnati,Ohio,,Cooper,Mid West Territory 06,Midwest,02/13/2015,Enabled,10.0,3,bobsumer9167uniocincinna,21,NotDupe,Low,Unique
847,Bockman's Auto Care,2158 Oakland Dr,Sycamore,Illinois,309164070320,Cooper,Mid West Territory 05,Midwest,02/06/2015,Enabled,155.0,12,bockmans2158oaklsycamore,17,NotDupe,High,Unique
3765,Bodkins Enterprises,,,,,,,,,,,0,bodkinsenannan,0,Dupe,No Activity,G
3731,Bodkins Enterprises,,,,,,,,,,,0,bodkinsenannan,18,NotDupe,No Activity,G
552,Boogers Tire Center,18439 Hwy 69 South,Jasper,Alabama,35397,Both,South Central Territory 03,South Central,01/14/2015,Enabled,229.0,24,boogerst18439hwyjasper,18,NotDupe,High,Unique
4933,Boones Service,110 W. Walsh St.,Montgomery City,Missouri,929893076501,Cooper,Mid West Territory 07,Midwest,02/21/2017,Enabled,2.0,0,boonesse110wwalsmontgome,18,NotDupe,No Activity,Unique
5499,Bosleys Tire Service Co,,,,,,,,,,,0,bosleystnannan,16,NotDupe,No Activity,Unique
4466,Bosley Tires,3948 S. Broadway,Wichita,Kansas,46606,Mastercraft,Mid West Territory 07,Midwest,10/22/2016,Enabled,279.0,41,bosleyti3948sbrowichita,0,Dupe,High,G
4416,bosley tire,3948 s broadway,wichita,Kansas,,Both,Mid West Territory 07,Midwest,10/10/2016,Enabled,198.0,28,bosleyti3948sbrowichita,15,NotDupe,High,G
4282,Bosley Tire Service Co,,,,,,,,,,,0,bosleytinannan,0,Dupe,No Activity,G
4283,Bosley Tire Service Co,,,,,,,,,,,0,bosleytinannan,20,NotDupe,No Activity,G
2292,BOUGE'S AUTO SERVICE,1001 GALVIN ROAD SOUTH,BELLEVUE,Nebraska,550822,Both,Mid West Territory 08,Midwest,08/19/2015,Enabled,75.0,7,bougesau1001galvbellevue,16,NotDupe,Medium,Unique
2034,Boulevard Tire Center,201 n state street,bunnell,Florida,27,Both,South Atlantic Territory 06,South Atlantic,06/24/2015,Enabled,850.0,62,boulevar201nstatbunnell,12,NotDupe,High,Unique
3463,Boulevard Tire Center,2788 ENTERPRISE RD,ORANGE CITY,Florida,,Cooper,South Atlantic Territory 06,South Atlantic,02/11/2016,Enabled,1039.0,79,boulevar2788enteorangeci,0,Dupe,High,G
5276,Boulevard Tire Center,2788 Enterprise Rd,Orange City,Florida,222644,Cooper,South Atlantic Territory 06,South Atlantic,05/31/2017,Enabled,1004.0,74,boulevar2788enteorangeci,0,Dupe,High,G
5279,Boulevard Tire,2788 Enterprise Rd,Orange City,Florida,222644,Cooper,South Atlantic Territory 06,South Atlantic,06/01/2017,Enabled,1004.0,74,boulevar2788enteorangeci,14,NotDupe,High,G
5649,BOULEVARD TIRE CENTER,330 W GRANADA BLVD,ORMOND BEACH,Florida,9043,Cooper,South Atlantic Territory 06,South Atlantic,08/24/2017,Enabled,5.0,3,boulevar330wgranormondbe,0,Dupe,Low,G
2001,Boulevard Tire Center,330 w. granada blvd,ormond beach,Florida,,Both,South Atlantic Territory 06,South Atlantic,06/10/2015,Enabled,1355.0,89,boulevar330wgranormondbe,12,NotDupe,High,G
2220,Boulevard Tire Center,3680 S Nova Rd,PORT ORANGE,Florida,26,Both,South Atlantic Territory 06,South Atlantic,08/04/2015,Enabled,925.0,64,boulevar3680snovportoran,14,NotDupe,High,Unique
3913,Boulevard Tire,418 S Hwy 27/441,Lady Lake,Florida,25,Both,South Atlantic Territory 06,South Atlantic,05/11/2016,Enabled,2.0,0,boulevar418shwy2ladylake,13,NotDupe,No Activity,Unique
5483,BOULEVARD TIRE,4801 NORTH HWY 19A,Mt. DORA,Florida,229067,Cooper,South Atlantic Territory 06,South Atlantic,07/18/2017,Enabled,979.0,72,boulevar4801nortmtdora,12,NotDupe,High,Unique
3800,Boulevard Tire Center,816 S Wodland Blvd,DeLand,Florida,,Both,South Atlantic Territory 06,South Atlantic,04/13/2016,Enabled,5.0,2,boulevar816swodldeland,2,Dupe,Low,G
3029,BOULEVARD TIRE CENTER,816 S. Woodland Blvd.,DELAND,Florida,4,Both,South Atlantic Territory 06,South Atlantic,12/10/2015,Enabled,1355.0,86,boulevar816swooddeland,0,Dupe,High,G
1990,boulevard tire center,816 S. Woodland Blvd.,DELAND,Florida,4,Both,South Atlantic Territory 06,South Atlantic,06/09/2015,Enabled,1384.0,89,boulevar816swooddeland,0,Dupe,High,G
1981,Boulevard Tire Center,816 S. Woodland Blvd.,DELAND,Florida,4,Both,South Atlantic Territory 06,South Atlantic,06/05/2015,Enabled,1475.0,89,boulevar816swooddeland,14,NotDupe,High,G
4401,boulevard tire,nova rd. 3680,port orange,Florida,1131587,Cooper,South Atlantic Territory 06,South Atlantic,10/05/2016,Enabled,967.0,75,boulevarnovard36portoran,20,NotDupe,High,Unique
2708,Bountiful Tire Factory,400 W 500 S,Bountiful,Utah,,Cooper,Western Territory 01,Western,10/20/2015,Enabled,77.0,6,bountifu400w500sbountifu,0,Dupe,Medium,G
2724,Bountiful Tire Factory,400 W 500 S,Bountiful,Utah,,Cooper,Western Territory 01,Western,10/21/2015,Enabled,265.0,9,bountifu400w500sbountifu,0,Dupe,Medium,G
2977,Bountiful Tire Factory,400 W 500 S,Bountiful,Utah,,Cooper,Western Territory 01,Western,12/04/2015,Enabled,4.0,2,bountifu400w500sbountifu,0,Dupe,Low,G
4013,Bountiful Tires & Service,400 W 500 S,Bountiful,Utah,,Both,Western Territory 01,Western,06/01/2016,Enabled,5.0,2,bountifu400w500sbountifu,17,NotDupe,Low,G
4610,Boutin Garage,105 hwy 2 south,wakaw,Saskatchewan,663431,Cooper,,,12/06/2016,Enabled,0.0,0,boutinga105hwy2swakaw,21,NotDupe,No Activity,Unique
4170,Bowen Sunoco,2555 Monroe Ave,Rochester,New York,952662,Mastercraft,Eastern Territory 05,Eastern,07/25/2016,Enabled,100.0,9,bowensun2555monrrocheste,20,NotDupe,Medium,Unique
5318,Boyd's Tire LLC,32 Tabernacle Road,Columbus,Mississippi,719057,Cooper,South Central Territory 03,South Central,06/07/2017,Enabled,466.0,50,boydstir32taberncolumbus,17,NotDupe,High,Unique
3497,BOYKO AUTOMOTIVE,801 CHESTNUT ST,EMMAUS,Pennsylvania,625432,Mastercraft,Eastern Territory 07,Eastern,02/18/2016,Enabled,35.0,3,boykoaut801chestemmaus,18,NotDupe,Low,Unique
4836,Bozeman Machinery and Tire,6218 E Hwy 62,Lubbock,Texas,1807261,Cooper,South Central Territory 06,South Central,02/02/2017,Enabled,1034.0,74,bozemanm6218ehwylubbock,0,Dupe,High,G
4835,Bozeman Machinery & Tire,6218 E HWY 62,Lubbock,Texas,1807261,Cooper,South Central Territory 06,South Central,02/02/2017,Enabled,1034.0,74,bozemanm6218ehwylubbock,0,Dupe,High,G
4837,Bozeman Machinery & Tire,6218 E Hwy 62,Lubbock,Texas,1807261,Cooper,South Central Territory 06,South Central,02/02/2017,Enabled,724.0,61,bozemanm6218ehwylubbock,19,NotDupe,High,G
4243,Braden Tire and Service,405 E Huron Ave,Bad Axe,Michigan,675892,Mastercraft,Mid West Territory 03,Midwest,08/11/2016,Enabled,4.0,2,bradenti405ehurobadaxe,18,NotDupe,Low,Unique
3050,Brad Shaffer,965 Spencerville Rd.,Delphos,Ohio,,Both,Mid West Territory 04,Midwest,12/11/2015,Enabled,1220.0,84,bradshaf965spencdelphos,18,NotDupe,High,Unique
4426,Braeside Automotive,#45-11440 Braeside Dr SW,Calgary,Alberta,573602,Cooper,,,10/12/2016,Enabled,5.0,3,braeside4511440bcalgary,17,NotDupe,Low,Unique
624,Brahler's,620 Commercial Ave.,Palmyra,Missouri,82593708321802,Cooper,Mid West Territory 07,Midwest,01/27/2015,Enabled,1547.0,80,brahlers620commepalmyra,18,NotDupe,High,Unique
3405,Brannan Tire and Auto,492 N Centennial Ave,West Fork,Arkansas,202597,Cooper,South Central Territory 02,South Central,02/02/2016,Enabled,5.0,3,brannant492ncentwestfork,19,NotDupe,Low,Unique
3831,Brazosport Tire Company,441 East Plantation Drive,Clute,Texas,954127,Cooper,South Central Territory 01,South Central,04/21/2016,Enabled,1095.0,78,brazospo441eastpclute,0,Dupe,High,G
3140,Brazosport Tire Co,441 East Plantation Drive,Clute,Texas,954127,Cooper,South Central Territory 01,South Central,12/23/2015,Enabled,155.0,9,brazospo441eastpclute,18,NotDupe,Medium,G
183,Breighner Tire LLC,1705 Hanover Pike,,,,,,,,,,0,breighne1705hanonan,16,NotDupe,No Activity,Unique
3363,Brett Schadel,1643 Urban RD,Herndon,Pennsylvania,,Cooper,Eastern Territory 06,Eastern,01/28/2016,Enabled,45.0,5,brettsch1643urbaherndon,19,NotDupe,Low,Unique
2093,Brian's Automotive,520 market st,LaCygne,Kansas,341754,Cooper,Mid West Territory 07,Midwest,07/10/2015,Enabled,478.0,33,briansau520markelacygne,20,NotDupe,High,Unique
758,Bridgeport Tire & Supply Co.,131 & 50 AIRPORT RD.,Bridgeport,West Virginia,,Cooper,South Atlantic Territory 04,South Atlantic,02/04/2015,Enabled,4.0,1,bridgepo13150airbridgepo,17,NotDupe,Low,Unique
5312,briggs tire service,21 main st,livonia,New York,1,Mastercraft,Eastern Territory 05,Eastern,06/06/2017,Enabled,0.0,0,briggsti21mainstlivonia,14,NotDupe,No Activity,Unique
2926,Brinkers Pit Stop,520 East Lena St.,Lena,Illinois,,Mastercraft,Mid West Territory 05,Midwest,11/24/2015,Enabled,766.0,34,brinkers520eastllena,0,Dupe,High,G
2925,Brinkers Pit Stop,520 East Lena St.,Lena,Illinois,75592,Mastercraft,Mid West Territory 05,Midwest,11/24/2015,Enabled,437.0,25,brinkers520eastllena,20,NotDupe,High,G
4983,Brooks St. Tire-Rama,3841 Brooks St.,Missoula,Montana,,Cooper,Western Territory 06,Western,03/06/2017,Enabled,4.0,1,brooksst3841broomissoula,17,NotDupe,Low,Unique
4907,BROOKVILLE TIRE MART,653 MAIN ST,BROOKVILLE,Indiana,1796529,Mastercraft,Mid West Territory 06,Midwest,02/10/2017,Enabled,65.0,2,brookvil653mainsbrookvil,19,NotDupe,Low,Unique
1841,Browns Automotive,101 Moore Ave,Smithfield,Virginia,641605,Cooper,South Atlantic Territory 02,South Atlantic,05/07/2015,Enabled,25.0,3,brownsau101mooresmithfie,20,NotDupe,Low,Unique
3108,Bruce L Stein,4459 Pontiac Lake Rd,Waterford,Michigan,,Both,Mid West Territory 04,Midwest,12/17/2015,Enabled,5.0,2,brucelst4459pontwaterfor,15,NotDupe,Low,Unique
4395,Bruce's Tire,,,,,,,,,,,0,brucestinannan,16,NotDupe,No Activity,Unique
